p,k,size,order
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,21846
17,3,13,13108
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,65536
17,3,13,21846
17,3,13,3856
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,21846
17,3,13,65536
17,3,13,13108
17,3,13,3856
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,13108
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,21846
17,3,13,65536
17,3,13,13108
17,3,13,21846
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,13108
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,13,65536
17,3,14,13108
17,3,14,21846
17,3,14,13108
17,3,14,256
17,3,14,3856
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,3856
17,3,14,13108
17,3,14,13108
17,3,14,21846
17,3,14,21846
17,3,14,3856
17,3,14,3856
17,3,14,13108
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,3856
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,14,3856
17,3,14,13108
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,14,3856
17,3,14,13108
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,256
17,3,14,13108
17,3,14,13108
17,3,14,13108
17,3,14,3856
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,3856
17,3,14,21846
17,3,14,256
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,3856
17,3,14,21846
17,3,14,256
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,3856
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,256
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,256
17,3,14,21846
17,3,14,21846
17,3,14,3856
17,3,14,13108
17,3,14,21846
17,3,14,13108
17,3,14,13108
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,3856
17,3,14,21846
17,3,14,13108
17,3,14,21846
17,3,14,21846
17,3,14,21846
17,3,14,13108
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
17,3,15,65536
